ProductName                 , Specification, Price , Unit    , Category     , Keywords   , Taste     , Origin              , Benefits        , SuitableFor
彩色金丝芒                  , 箱           ,  65   , 箱      , 时令水果     , 芒果       , 香甜软糯  , 热带地区            , 热带风情        , 芒果爱好者
越南龙眼                    , 箱           ,  59   , 箱      , 时令水果     , 桂圆       , 清甜核小  , 越南                , 滋补益气        , 水果爱好者
甜哈密瓜                    , 3个          ,  18.99, 3个     , 时令水果     , 哈密瓜     , 甜爽多汁  , 未注明              , 消暑佳品        , 全家皆宜
韩国香瓜                    , 6个          ,  18   , 6个     , 时令水果     ,            , 脆甜多汁  , 韩国                , 夏季水果        , 水果爱好者
天花板金色奇异果            , 箱           ,  48   , 箱      , 时令水果     , 猕猴桃     , 酸甜适口  , 新西兰/进口 (推测)  , 维C之王         , 全家皆宜
新鲜墨西哥山竹              , 15磅连箱     , 160   , 15磅连箱, 时令水果     ,            , 甜美多汁  , 墨西哥              , 水果皇后        , 热带水果爱好者
以色列甜orri 柑             , 箱           ,  48   , 箱      , 时令水果     , 橙子;柑橘  , 清甜多汁  , 以色列              , 富含维C         , 柑橘爱好者
爱妃苹果                    , 大箱         ,  60   , 大箱    , 时令水果     , 苹果       , 脆甜多汁  , 进口 (推测)         , 高品质苹果      , 苹果爱好者
白玉桃                      , 箱           ,  55   , 箱      , 时令水果     , 桃子       , 甜嫩多汁  , 未注明              , 夏季美味        , 桃子爱好者
Sunkist 浓味甜橙            , 箱           ,  50   , 箱      , 时令水果     , 橙子       , 浓郁香甜  , 美国 (Sunkist品牌)  , 高品质甜橙      , 橙子爱好者
红毛丹                      , 箱           ,  30   , 箱      , 时令水果     ,            , 甜爽多汁  , 东南亚 (推测)       , 奇珍异果        , 热带水果爱好者
天花板草莓                  , 箱           ,  28   , 箱      , 时令水果     ,            , 香甜可口  , 本地/优质产区 (推测), 老少皆宜        , 草莓爱好者
糯米荔枝                    , 10lb连箱     , 200   , 10lb连箱, 时令水果     , 荔枝       , 核小肉厚  , 中国/亚热带 (推测)  , 珍品水果        , 荔枝爱好者
天花板凤梨                  , 箱           ,  35   , 箱      , 时令水果     , 菠萝       , 酸甜多汁  , 热带地区 (推测)     , 助消化          , 水果爱好者
甜cotton candy 葡萄         , 箱           ,  50   , 箱      , 时令水果     , 葡萄       , 棉花糖般甜, 美国 (常见产地)     , 独特风味        , 葡萄爱好者
大王中王                    , 包           ,   6.99, 包      , 优选干货     ,            ,           ,                     , 
甘蔗马蹄饮                  , 5根          ,  25   , 5根     , 优选干货     ,            , 清甜爽口  , 配方饮品            , 清热解渴        , 大众适宜
傻小胖糯玉米                , 3包x400g     ,  11.99, 3包x400g, 新鲜蔬菜     , 糯玉米     , 软糯香甜  , 未注明              , 主食/零食皆宜   , 喜爱糯玉米者
双黄海鸭蛋                  , 盒           ,  39   , 盒      , 蛋类         ,            , 咸香流油  , 沿海地区 (海鸭蛋)   , 风味独特        , 咸蛋爱好者
七彩菌菇包                  , 2包          ,  10   , 2包     , 新鲜蔬菜     , 蘑菇       , 多种菌菇  , 菌菇基地 (推测)     , 营养丰富        , 菌菇爱好者/煲汤
威州5年参须                 , 磅           ,  19   , 磅      , 优选干货     , 人参须     , 微苦回甘  , 美国威斯康辛州      , 补气养阴        , 滋补调理人群 (遵医嘱)
纸皮核桃                    , 盒           ,  21   , 盒      , 时令水果     , 核桃       , 皮薄易剥  , 未注明              , 健脑益智        , 坚果爱好者
农家黑笋丝                  , 磅           ,  16   , 磅      , 新鲜蔬菜     , 笋丝       , 鲜嫩爽脆  , 农家/山区 (推测)    , 山野风味        , 喜爱笋类者
